<msg_type>  <time>  <packet_type>  <seq>  <size>  <ack>
rcv         4204.341       A       1      0       11152 
snd         4204.434       D       11202  50      1     
rcv         4204.512       A       1      0       11202 
snd         4204.585       D       11252  50      1     
rcv         4204.68        A       1      0       11252 
rcv         4204.774       A       1      0       11302 
snd         4204.851       D       11302  50      1     
rcv         4217.466       A       1      0       11352 
snd         4241.223       D       11352  50      1     
rcv         4241.392       A       1      0       11402 
snd         4246.824       D       11402  50      1     
rcv         4246.978       A       1      0       11452 
snd         4258.586       D       11452  50      1     
rcv         4258.76        A       1      0       11502 
snd         4264.46        D       11502  50      1     
rcv         4264.598       A       1      0       11552 
snd         4276.264       D       11552  50      1     
drop        4276.264       D       11602  50      1     
snd         4276.434       D       11602  50      1     
snd         4276.504       D       11652  50      1     
snd         4276.562       D       11702  50      1     
snd         4276.645       D       11752  50      1     
rcv         4288.675       A       1      0       11602 
rcv         4299.544       A       1      0       11652 
rcv         4299.626       A       1      0       11702 
rcv         4305.183       A       1      0       11752 
rcv         4305.284       A       1      0       11802 
snd         4305.323       D       11802  50      1     
rcv         4305.82        A       1      0       11852 
snd         4312.129       D       11852  50      1     
rcv         4312.234       A       1      0       11902 
snd         4312.365       D       11902  50      1     
snd         4312.576       D       11952  50      1     
snd         4312.71        D       12002  50      1     
rcv         4318.001       A       1      0       11952 
snd         4318.168       D       12052  50      1     
rcv         4318.289       A       1      0       12002 
snd         4318.42        D       12102  50      1     
rcv         4318.506       A       1      0       12052 
rcv         4318.569       A       1      0       12102 
rcv         4318.626       A       1      0       12152 
snd         4318.751       D       12152  50      1     
rcv         4319.019       A       1      0       12202 
snd         4325.146       D       12202  50      1     
rcv         4330.517       A       1      0       12252 
snd         4341.643       D       12252  50      1     
snd         4341.736       D       12302  50      1     
drop        4341.736       D       12352  50      1     
snd         4341.812       D       12352  50      1     
drop        4341.812       D       12402  50      1     
snd         4341.882       D       12402  50      1     
snd         4341.936       D       12452  50      1     
rcv         4347.437       A       1      0       12302 
rcv         4360.396       A       1      0       12352 
rcv         4365.724       A       1      0       12402 
rcv         4365.818       A       1      0       12452 
snd         4365.884       D       12502  50      1     
snd         4366.061       D       12552  50      1     
snd         4366.317       D       12602  50      1     
rcv         4366.475       A       1      0       12502 
snd         4366.718       D       12652  50      1     
snd         4366.832       D       12702  50      1     
rcv         4371.972       A       1      0       12552 
rcv         4372.101       A       1      0       12602 
rcv         4372.178       A       1      0       12652 
rcv         4377.557       A       1      0       12702 
rcv         4377.716       A       1      0       12752 
snd         4408.513       D       12752  50      1     
rcv         4418.481       A       1      0       12802 
snd         4427.509       D       12802  50      1     
drop        4427.509       D       12852  50      1     
snd         4430.35        D       12852  50      1     
snd         4430.507       D       12902  50      1     
snd         4430.666       D       12952  50      1     
snd         4430.819       D       13002  50      1     
rcv         4437.917       A       1      0       12852 
rcv         4455.794       A       1      0       12902 
snd         4456.172       D       13052  50      1     
snd         4456.302       D       13102  50      1     
snd         4456.396       D       13152  50      1     
snd         4456.464       D       13202  50      1     
snd         4456.525       D       13252  50      1     
